edge_idx;source_name;source_label;relation_type;target_name;target_label;period_id;period_label;n_chunks_in_period;event_natural_periods;aligned
169;Perang Tabuk;EVENT;OCCURRED_ON;tahun 9 H;TIME;P14;Masuknya Umat & Haji Wada';1;P13;False
184;Haritsah bin Amr;PERSON;KELUARGA;Haritsah bin Tsa'labah;PERSON;P0;Konteks Arab Jahiliyah;1;;
185;Ibrahim;PERSON;KELUARGA;Isma'il;PERSON;P0;Konteks Arab Jahiliyah;2;;
186;Mudhadh bin Amr;PERSON;KELUARGA;Isma'il;PERSON;P0;Konteks Arab Jahiliyah;2;;
187;Muhammad bin Abdullah bin Abdul Muththalib bin Hasyim;PERSON;KELUARGA;Ibrahim;PERSON;P0;Konteks Arab Jahiliyah;1;;
188;Muhammad;PERSON;KELUARGA;Ibrahim;PERSON;P0;Konteks Arab Jahiliyah;1;;
189;Isma'il;PERSON;KELUARGA;Ibrahim;PERSON;P0;Konteks Arab Jahiliyah;1;;
190;Hanifah bin Sha'b bin Ali bin Bakr;PERSON;KELUARGA;Bakr bin Wa'il;PERSON;P0;Konteks Arab Jahiliyah;1;;
191;Adi bin An-Najjar;PERSON;KELUARGA;Salma binti Amru;PERSON;P1;Nasab & Kelahiran Nabi;1;;
192;Fathimah binti Amr bin A'idz bin Imran bin Makhzum bin Yaqzhah bin Murrah;PERSON;KELUARGA;Abdul Muththalib;PERSON;P1;Nasab & Kelahiran Nabi;1;;
193;Bilal bin Rabah;PERSON;SAHABAT;Abu Thalib;PERSON;P1;Nasab & Kelahiran Nabi;1;;
194;Abu Bakar;PERSON;SAHABAT;Abu Thalib;PERSON;P1;Nasab & Kelahiran Nabi;1;;
195;Muhammad;PERSON;KELUARGA;Khadijah;PERSON;P1;Nasab & Kelahiran Nabi;1;;
195;Muhammad;PERSON;KELUARGA;Khadijah;PERSON;P2;Awal Kenabian & Mandat Dakwah;1;;
196;Khadijah;PERSON;KELUARGA;Waraqah bin Naufal;PERSON;P2;Awal Kenabian & Mandat Dakwah;2;;
197;Waraqah bin Naufal;PERSON;KELUARGA;Khadijah;PERSON;P2;Awal Kenabian & Mandat Dakwah;2;;
198;Zaid bin Haritsah bin Syurahbil;PERSON;KELUARGA;Khadijah;PERSON;P3;Dakwah Sirriyah;1;;
199;Ali bin Abu Thalib;PERSON;KELUARGA;Khadijah;PERSON;P3;Dakwah Sirriyah;1;;
200;Abu Bakar;PERSON;KELUARGA;Abu Lahab;PERSON;P4;Dakwah Jahriyah & Tekanan Quraisy;1;;
201;Muhammad;PERSON;KELUARGA;Abu Lahab;PERSON;P4;Dakwah Jahriyah & Tekanan Quraisy;1;;
202;Utsman bin Affan;PERSON;KELUARGA;Mush'ab bin Umair;PERSON;P4;Dakwah Jahriyah & Tekanan Quraisy;1;;
203;Umar bin Al-Khaththab;PERSON;MUSUH;Muhammad;PERSON;P4;Dakwah Jahriyah & Tekanan Quraisy;1;;
203;Umar bin Al-Khaththab;PERSON;MUSUH;Muhammad;PERSON;P9;Perang Uhud & Satuan Pasukan Pasca Uhud;1;;
204;Hamzah bin Abdul Muththalib;PERSON;KELUARGA;Abu Thalib;PERSON;P4;Dakwah Jahriyah & Tekanan Quraisy;1;;
205;Umar bin Al-Khaththab;PERSON;KELUARGA;Abu Thalib;PERSON;P4;Dakwah Jahriyah & Tekanan Quraisy;1;;
206;Abu Thalib;PERSON;KELUARGA;Abu Jahal;PERSON;P4;Dakwah Jahriyah & Tekanan Quraisy;1;;
207;Utbah bin Rabi'ah;PERSON;KELUARGA;Abu Jahal;PERSON;P4;Dakwah Jahriyah & Tekanan Quraisy;1;;
207;Utbah bin Rabi'ah;PERSON;KELUARGA;Abu Jahal;PERSON;P6;Hijrah ke Madinah;1;;
208;Syaibah bin Rabi'ah;PERSON;KELUARGA;Abu Jahal;PERSON;P4;Dakwah Jahriyah & Tekanan Quraisy;1;;
209;Umayyah bin Khalaf;PERSON;KELUARGA;Abu Jahal;PERSON;P4;Dakwah Jahriyah & Tekanan Quraisy;1;;
209;Umayyah bin Khalaf;PERSON;KELUARGA;Abu Jahal;PERSON;P6;Hijrah ke Madinah;1;;
210;Abu Sufyan bin Harb;PERSON;KELUARGA;Abu Jahal;PERSON;P4;Dakwah Jahriyah & Tekanan Quraisy;1;;
211;Muhammad;PERSON;KELUARGA;Saudah binti Zam'ah;PERSON;P4;Dakwah Jahriyah & Tekanan Quraisy;1;;
212;Sakran bin Amr;PERSON;KELUARGA;Saudah binti Zam'ah;PERSON;P4;Dakwah Jahriyah & Tekanan Quraisy;1;;
213;Muhammad;PERSON;KELUARGA;Ummu Jamil;PERSON;P4;Dakwah Jahriyah & Tekanan Quraisy;1;;
214;Ummu Jamil binti Al-Khaththab;PERSON;KELUARGA;Muhammad;PERSON;P4;Dakwah Jahriyah & Tekanan Quraisy;1;;
215;Ummul Khair;PERSON;KELUARGA;Muhammad;PERSON;P4;Dakwah Jahriyah & Tekanan Quraisy;1;;
216;Ummu Jamil;PERSON;KELUARGA;Muhammad;PERSON;P4;Dakwah Jahriyah & Tekanan Quraisy;1;;
217;Abu Bakar;PERSON;KELUARGA;Muhammad;PERSON;P4;Dakwah Jahriyah & Tekanan Quraisy;1;;
217;Abu Bakar;PERSON;KELUARGA;Muhammad;PERSON;P8;Perang Badr & Dampaknya;1;;
218;Muhammad;PERSON;KELUARGA;Aisyah;PERSON;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;;
219;Adam;PERSON;SAHABAT;Jibril;PERSON;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;;
220;As'ad bin Zurarah;PERSON;SAHABAT;Mush'ab bin Umair;PERSON;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;;
221;Ubadah bin Ash-Shamit bin Qais;PERSON;KELUARGA;Rifa'ah bin Abdul Mundzir;PERSON;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;;
222;Sa'd bin Ubadah bin Dulaim;PERSON;KELUARGA;Rifa'ah bin Abdul Mundzir;PERSON;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;;
223;Al-Mundzir bin Amr bin Khunais;PERSON;KELUARGA;Rifa'ah bin Abdul Mundzir;PERSON;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;;
224;Usaid bin Hudhair bin Sammak;PERSON;KELUARGA;Rifa'ah bin Abdul Mundzir;PERSON;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;;
225;Sa'd bin Khaitsamah bin Al-Harits;PERSON;KELUARGA;Rifa'ah bin Abdul Mundzir;PERSON;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;;
226;Muhammad;PERSON;KELUARGA;Rifa'ah bin Abdul Mundzir;PERSON;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;;
227;Umar bin Al-Khaththab;PERSON;SAHABAT;Abu Jahal;PERSON;P5;Dakwah di Luar Makkah & Isra Mi'raj;1;;
228;Jubair bin Muth'im;PERSON;KELUARGA;Abu Jahal;PERSON;P6;Hijrah ke Madinah;1;;
229;Thu'aimah bin Adi;PERSON;KELUARGA;Abu Jahal;PERSON;P6;Hijrah ke Madinah;2;;
230;Al-Harits bin Amir;PERSON;KELUARGA;Abu Jahal;PERSON;P6;Hijrah ke Madinah;1;;
231;Naufal bin Abdi;PERSON;KELUARGA;Abu Jahal;PERSON;P6;Hijrah ke Madinah;1;;
232;Abul Hakam;PERSON;KELUARGA;Abu Jahal;PERSON;P6;Hijrah ke Madinah;1;;
233;Al-Hakam bin Abul Ash;PERSON;KELUARGA;Abu Jahal;PERSON;P6;Hijrah ke Madinah;1;;
234;Uqbah bin Abu Mu'aith;PERSON;KELUARGA;Abu Jahal;PERSON;P6;Hijrah ke Madinah;1;;
235;An-Nadhr bin Al-Harits;PERSON;KELUARGA;Abu Jahal;PERSON;P6;Hijrah ke Madinah;1;;
236;Zam'ah bin Al-Aswad;PERSON;KELUARGA;Abu Jahal;PERSON;P6;Hijrah ke Madinah;1;;
237;Abu Lahab;PERSON;KELUARGA;Abu Jahal;PERSON;P6;Hijrah ke Madinah;1;;
238;Muhammad;PERSON;SAHABAT;Abu Bakar;PERSON;P6;Hijrah ke Madinah;1;;
239;Amir bin Fuhairah;PERSON;SAHABAT;Abu Bakar;PERSON;P6;Hijrah ke Madinah;1;;
240;Abdullah bin Uraiqith;PERSON;SAHABAT;Abu Bakar;PERSON;P6;Hijrah ke Madinah;1;;
241;Sa'd bin Mu'adz;PERSON;KELUARGA;Umayyah;PERSON;P7;Membangun Masyarakat Madinah;1;;
242;Abu Jahal;PERSON;KELUARGA;Umayyah;PERSON;P7;Membangun Masyarakat Madinah;1;;
243;Abu Jahal;PERSON;SAHABAT;Umayyah;PERSON;P7;Membangun Masyarakat Madinah;1;;
244;Abu Shafwan;PERSON;SAHABAT;Umayyah;PERSON;P7;Membangun Masyarakat Madinah;1;;
245;Muhammad;PERSON;KELUARGA;Abu Jahal;PERSON;P7;Membangun Masyarakat Madinah;1;;
246;Hamzah bin Abdul Muththalib;PERSON;KELUARGA;Abu Jahal;PERSON;P7;Membangun Masyarakat Madinah;1;;
247;Amar bin Al-Hadhrami;PERSON;KELUARGA;Abdullah bin Al-Mughirah;PERSON;P7;Membangun Masyarakat Madinah;1;;
248;Utsman bin Affan;PERSON;KELUARGA;Abdullah bin Al-Mughirah;PERSON;P7;Membangun Masyarakat Madinah;1;;
249;Al-Hakam bin Kaisan;PERSON;KELUARGA;Abdullah bin Al-Mughirah;PERSON;P7;Membangun Masyarakat Madinah;1;;
250;Jibril;PERSON;KELUARGA;Muhammad;PERSON;P8;Perang Badr & Dampaknya;1;;
251;Mush'ab bin Umair;PERSON;KELUARGA;Abu Aziz;PERSON;P8;Perang Badr & Dampaknya;1;;
252;Muhammad;PERSON;KELUARGA;Utsman bin Affan;PERSON;P8;Perang Badr & Dampaknya;1;;
