name;degree_centrality;betweenness_centrality;closeness_centrality;pagerank;degree;community
Bakr Bin Wa'Il;0.003831;0.0;0.003831;0.003817;1;11
Adi Bin An-Najjar;0.003831;0.0;0.003831;0.003817;1;12
Salma Binti Amru;0.003831;0.0;0.003831;0.003817;1;12
Abu Bashir;0.003831;0.0;0.003831;0.003817;1;15
Abu Jandal;0.003831;0.0;0.003831;0.003817;1;15
Bukhtanashar;0.003831;0.0;0.003831;0.003817;1;8
Nu'Aim Bin Ma'Ud;0.003831;0.0;0.003831;0.003817;1;14
Sulaith Bin An- Nu'Man;0.003831;0.0;0.003831;0.003817;1;14
Haritsah Bin Amr;0.003831;0.0;0.003831;0.003817;1;10
Haritsah Bin Tsa'Labah;0.003831;0.0;0.003831;0.003817;1;10
Amr Bin Al-Hadhrami;0.015326;0.019271;0.356975;0.003599;4;4
Abdullah Bin Atik;0.065134;0.014589;0.414741;0.003289;17;3
Jabir bin Abdullah;0.072797;0.003697;0.415496;0.003214;19;3
Tumadhir Bin Al-Ashba;0.011494;0.014294;0.323098;0.003103;3;7
Isma'Il;0.011494;0.014294;0.289844;0.002928;3;0
Zaid Bin Haritsah;0.065134;3.4e-05;0.418545;0.002928;17;1
Abu Zaid;0.003831;0.0;0.005109;0.002919;1;6
Amr Bin Abdi;0.003831;0.0;0.005109;0.002919;1;6
Mu'Awwidz Bin Ibnu Ishaq;0.007663;0.007162;0.25804;0.002894;2;0
Kisra;0.042146;0.00028;0.413238;0.002799;11;0
Halimah;0.042146;0.005273;0.413238;0.002717;11;0
Sa'D Bin Mu'Adz;0.065134;0.002448;0.415496;0.002606;17;3
Huyai Bin Akhthab;0.061303;0.000324;0.413238;0.002556;16;3
Ibnu Sa'D;0.061303;0.000324;0.413238;0.002556;16;3
Ka'B Bin Zaid Bin An-Najjar;0.061303;0.000324;0.413238;0.002556;16;3
Al-Mundzir Bin Uqbah Bin Amir;0.061303;0.000324;0.413238;0.002556;16;3
Ka'B Bin Asad;0.061303;0.000324;0.413238;0.002556;16;3
Zainab Binti Jahsy;0.061303;0.000324;0.413238;0.002556;16;3
Qais Bin Al-Aslat;0.061303;0.000324;0.413238;0.002556;16;3
Musailamah;0.034483;0.002083;0.402306;0.002534;9;0
Mush'Ab;0.007663;0.007162;0.238856;0.002476;2;5
Abdullah Bin Al-Mughirah;0.011494;0.012157;0.313765;0.002471;3;4
Asy-Syaima' Binti Al-Harits;0.02682;1.8e-05;0.400892;0.002052;7;0
Ka'B Bin Zuhair;0.02682;1.8e-05;0.400892;0.002052;7;0
Mas'Ud Bin Amr;0.02682;1.8e-05;0.400892;0.002052;7;0
Bujair Bin Zuhair;0.02682;1.8e-05;0.400892;0.002052;7;0
Urwah Bin Mas'Ud;0.02682;1.8e-05;0.400892;0.002052;7;0
Salamah Bin Al-Akwa;0.030651;0.000243;0.400892;0.001915;8;1
Bin Amr;0.007663;0.014265;0.354755;0.001854;2;0
Abu Rafi';0.007663;0.007162;0.288378;0.001804;2;3
Mu'Adz Bin Amr;0.003831;0.0;0.202402;0.001802;1;0
Al-Miqdad Bin Amr;0.02682;4.6e-05;0.400188;0.00179;7;1
Sallam Bin Misykam;0.007663;0.007162;0.397399;0.00178;2;0
Maimunah Binti Al-Harits;0.007663;0.007162;0.397399;0.00178;2;0
Saudah Binti Zam'Ah;0.007663;0.007162;0.397399;0.00178;2;0
Abul Huqaiq;0.007663;0.007162;0.397399;0.00178;2;0
Usamah Bin Zaid;0.007663;0.007162;0.342503;0.001732;2;13
Abu Aziz Bin Umair;0.007663;0.014265;0.319478;0.00173;2;5
Ath-Thabari;0.022989;0.004969;0.405164;0.00165;6;0
Mu'Adz Bin Jabal;0.019157;2.4e-05;0.400188;0.001641;5;0
Malik Bin An-Namath;0.019157;2.4e-05;0.400188;0.001641;5;0
An- Nu'Man Bin Qail;0.019157;2.4e-05;0.400188;0.001641;5;0
Al-Harits Bin Abdi;0.019157;2.4e-05;0.400188;0.001641;5;0
Utbah Bin Rabi'Ah;0.022989;0.0;0.404446;0.001636;6;0
As'Ad Bin Zurarah;0.003831;0.0;0.190407;0.001625;1;5
Zaid Binti Haritsah;0.011494;0.007162;0.398093;0.001558;3;0
Uqbah Bin Abu Demi;0.022989;4.5e-05;0.404446;0.001551;6;0
Syaibah Bin Rabi'Ah;0.022989;4.5e-05;0.404446;0.001551;6;0
Al-Walid Bin Utbah;0.022989;4.5e-05;0.404446;0.001551;6;0
Yusuf;0.019157;0.015876;0.406608;0.001516;5;0
Abu Ayyub;0.030651;0.001119;0.410265;0.00149;8;0
Ummu Abi Salamah;0.003831;0.0;0.240366;0.001451;1;7
Sa'D Bin Bakr;0.003831;0.0;0.240366;0.001451;1;7
Az-Zabir Bin Batha;0.015326;0.0;0.398093;0.001393;4;0
Tsabit Bin Qaiz;0.015326;0.0;0.398093;0.001393;4;0
Iyas Bin Mu'Adz;0.015326;0.0;0.398093;0.001393;4;0
Abdullah Bin Unais;0.003831;0.0;0.220607;0.001339;1;3
Utbah bin Rabi'ah;0.003831;0.0;0.258625;0.001337;1;4
Amir Bin Al-Hadhrami;0.003831;0.0;0.258625;0.001337;1;4
Amir Bin Al-Akwa;0.022989;0.000837;0.399487;0.001332;6;1
Ja'Far Bin Abu Thalib;0.003831;0.0;0.279201;0.001329;1;0
Shafiyah Binti Huyai Bin Akhthab;0.003831;0.0;0.279201;0.001329;1;0
Sakran Bin Amr;0.003831;0.0;0.279201;0.001329;1;0
Zainab Binti Al-Harits;0.003831;0.0;0.279201;0.001329;1;0
Waraqah bin Naufal;0.007663;0.0;0.292445;0.001323;2;0
Mirdas Bin Nuhaik;0.003831;0.0;0.250943;0.001309;1;13
Al-Hakam Bin Kaisan;0.003831;0.0;0.235162;0.001273;1;4
Sulkan Bin Salamah;0.003831;0.0;0.282661;0.001251;1;0
Ubbad Bin Bisyr;0.003831;0.0;0.282661;0.001251;1;0
Abu Abbas Bin Jabr;0.003831;0.0;0.282661;0.001251;1;0
Al-Harits Bin Aus;0.003831;0.0;0.282661;0.001251;1;0
Abu Na'Ilah;0.003831;0.0;0.282661;0.001251;1;0
Muhammad Bin Maslamah;0.003831;0.0;0.282661;0.001251;1;0
Mudhadh Bin Amru;0.003831;0.0;0.221463;0.001195;1;0
Mudhadh Bin Amr;0.003831;0.0;0.221463;0.001195;1;0
