name;degree_centrality;betweenness_centrality;closeness_centrality;pagerank;degree;community
Abqar;0.006969;0.0;0.30087;0.001594;2;1
Nahits;0.006969;0.0;0.30087;0.001594;2;1
Makhi;0.006969;0.0;0.30087;0.001594;2;1
Aidh;0.006969;0.0;0.30087;0.001594;2;1
Thabikh;0.006969;0.0;0.30087;0.001594;2;1
Ubaid;0.006969;0.0;0.30087;0.001594;2;1
Ad-Da'a;0.006969;0.0;0.30087;0.001594;2;1
Hamdan;0.006969;0.0;0.30087;0.001594;2;1
Sinbar;0.006969;0.0;0.30087;0.001594;2;1
Jahim;0.006969;0.0;0.30087;0.001594;2;1
Udad;0.006969;0.0;0.30087;0.001594;2;1
Yadlaf;0.006969;0.0;0.30087;0.001594;2;1
Ghalib;0.006969;0.0;0.30087;0.001594;2;1
Amir;0.006969;0.0;0.30087;0.001594;2;1
Mudrikah;0.006969;0.0;0.30087;0.001594;2;1
Khuzaimah;0.006969;0.0;0.30087;0.001594;2;1
Kinanah;0.006969;0.0;0.30087;0.001594;2;1
Qais;0.006969;0.0;0.30087;0.001594;2;1
An-Nadhr;0.006969;0.0;0.30087;0.001594;2;1
Quraisy;0.006969;0.0;0.30087;0.001594;2;1
Fihr;0.006969;0.0;0.30087;0.001594;2;1
Lu'ay;0.006969;0.0;0.30087;0.001594;2;1
Mudhar;0.006969;0.0;0.30087;0.001594;2;1
Kilab;0.006969;0.0;0.30087;0.001594;2;1
Qushay;0.006969;0.0;0.30087;0.001594;2;1
Al-Mughirah;0.006969;0.0;0.30087;0.001594;2;1
Abdu Manaf;0.006969;0.0;0.30087;0.001594;2;1
Baldas;0.006969;0.0;0.30087;0.001594;2;1
Syaibah;0.006969;0.0;0.30087;0.001594;2;1
Amru;0.006969;0.0;0.30087;0.001594;2;1
Hasyim;0.006969;0.0;0.30087;0.001594;2;1
Ilyas;0.006969;0.0;0.30087;0.001594;2;1
Malik;0.006969;0.0;0.30087;0.001594;2;1
Nizar;0.006969;0.0;0.30087;0.001594;2;1
Aush;0.006969;0.0;0.30087;0.001594;2;1
Hamaisa';0.006969;0.0;0.30087;0.001594;2;1
Haza;0.006969;0.0;0.30087;0.001594;2;1
Nasyid;0.006969;0.0;0.30087;0.001594;2;1
Awwam;0.006969;0.0;0.30087;0.001594;2;1
Ubay;0.006969;0.0;0.30087;0.001594;2;1
Qimwal;0.006969;0.0;0.30087;0.001594;2;1
Bagian;0.006969;0.0;0.30087;0.001594;2;1
Bauz;0.006969;0.0;0.30087;0.001594;2;1
Salaman;0.006969;0.0;0.30087;0.001594;2;1
Abul Bakhtari bin Hisyam;0.010453;0.00653;0.301951;0.00159;3;4
Al-Mundzir bin Amr bin Khunais;0.003484;0.0;0.263458;0.001581;1;7
Sa'd bin Ubadah bin Dulaim;0.003484;0.0;0.263458;0.001581;1;7
Ubadah bin Ash-Shamit bin Qais;0.003484;0.0;0.263458;0.001581;1;7
Usaid bin Hudhair bin Sammak;0.003484;0.0;0.263458;0.001581;1;7
Sa'd bin Khaitsamah bin Al-Harits;0.003484;0.0;0.263458;0.001581;1;7
Ja'far bin Abu Thalib;0.010453;0.006433;0.361734;0.001552;3;6
Al-Harits bin Abdi;0.010453;0.0;0.361734;0.001508;3;8
Mu'adz bin Jabal;0.010453;0.0;0.361734;0.001508;3;8
Nu'man bin Qail;0.010453;0.0;0.361734;0.001508;3;8
Al-Baihaqi;0.017422;0.0;0.363822;0.001507;5;0
Ibnul Jauzi;0.017422;0.0;0.363822;0.001507;5;0
Mudhadh bin Amr;0.003484;0.0;0.212947;0.001476;1;3
Utbah bin Rabi'ah;0.010453;0.001998;0.371872;0.001427;3;4
Tarih;0.003484;0.0;0.230045;0.001419;1;3
Aibar;0.003484;0.0;0.230045;0.001419;1;3
Falakh;0.003484;0.0;0.230045;0.001419;1;3
Ra'u;0.003484;0.0;0.230045;0.001419;1;3
Sarugh;0.003484;0.0;0.230045;0.001419;1;3
Arfakhsyad;0.003484;0.0;0.230045;0.001419;1;3
Nahur;0.003484;0.0;0.230045;0.001419;1;3
Saru';0.003484;0.0;0.230045;0.001419;1;3
Azar;0.003484;0.0;0.230045;0.001419;1;3
Sa'd bin Bakr;0.003484;0.0;0.229835;0.001376;1;11
Ummu Abi Salamah;0.003484;0.0;0.229835;0.001376;1;11
Waraqah bin Naufal;0.003484;0.0;0.264841;0.001358;1;0
As'ad bin Khuzaimah;0.02439;7e-06;0.366466;0.001332;7;2
Sakran bin Amr;0.003484;0.0;0.261273;0.001324;1;16
Zainab binti Al-Harits;0.003484;0.0;0.261273;0.001324;1;20
Muhammad bin Abdullah bin Abdul Muththalib bin Hasyim;0.003484;0.0;0.27465;0.001318;1;3
Tsabit bin Qais bin Syammas;0.013937;0.0;0.362254;0.001308;4;0
Maimunah binti Al-Harits Al-Amiriyah;0.006969;0.0;0.361216;0.001301;2;6
Az-Zabir bin Batha;0.013937;0.000652;0.362254;0.001267;4;0
Iyas bin Mu'adz;0.013937;0.000652;0.362254;0.001267;4;0
Mirdas bin Nuhaik;0.003484;0.0;0.22572;0.001266;1;17
Abu Thalib;0.017422;0.0;0.308982;0.001262;5;4
bin Amr bin Al-Jamuh;0.003484;0.0;0.263458;0.001173;1;5
Mu'awwidz bin Ibnu Ishaq;0.003484;0.0;0.263458;0.001173;1;5
Abu Ubaidah bin Al-Jarrah;0.017422;0.002255;0.363822;0.001161;5;0
Abul Huqaiq;0.006969;0.000687;0.361734;0.001151;2;1
Al-Hakam bin Kaisan;0.003484;0.0;0.226328;0.001119;1;4
Ummu Jamil;0.003484;0.0;0.360699;0.001007;1;0
Sahl bin Hanif;0.003484;0.0;0.268794;0.000951;1;0
Malik bin Sinan;0.003484;0.0;0.268794;0.000951;1;0
Ummu Ammarah;0.003484;0.0;0.268794;0.000951;1;0
Nasibah binti Ka'b;0.003484;0.0;0.268794;0.000951;1;0
Qatadah bin An-Nu'man;0.003484;0.0;0.268794;0.000951;1;0
Hathib bin Abu Balta'ah;0.003484;0.0;0.268794;0.000951;1;0
Nafisah binti Munyah;0.003484;0.0;0.264841;0.00094;1;0
Zaid bin Haritsah bin Syurahbil;0.003484;0.0;0.264841;0.00094;1;0
Sallam bin Abul Huqaiq;0.006969;0.0;0.361216;0.000918;2;0
Abu Shafwan;0.003484;0.0;0.229417;0.000918;1;4
Ummu Misthah;0.006969;0.0;0.361734;0.000906;2;0
Budail bin Zarqa';0.003484;0.0;0.229208;0.000891;1;4
Abu Hudzaifah;0.003484;0.0;0.228585;0.000881;1;4
Abu Sufyan bin Al-Harits bin Abdul Muththalib;0.003484;0.0;0.264563;0.000849;1;0
Uqbah bin Abu Mu'ith;0.006969;0.0;0.30159;0.000846;2;4
Salamah bin Abu Salamah;0.006969;0.0;0.298025;0.000824;2;0
Jabalah bin Al-Aiham;0.003484;0.0;0.263183;0.000821;1;5
Ibnu Qami'ah;0.003484;0.0;0.360699;0.000764;1;0
Adi bin Hatim;0.003484;0.0;0.360699;0.000764;1;0
Usaid bin Hudhair;0.003484;0.0;0.360699;0.000764;1;0
Maimunah;0.003484;0.0;0.360699;0.000764;1;0
Abd bin Al-Julunda;0.003484;0.0;0.360699;0.000764;1;0
Kisra;0.003484;0.0;0.360699;0.000764;1;0
Heraklius;0.003484;0.0;0.360699;0.000764;1;0
Ka'b bin Asad;0.003484;0.0;0.360699;0.000764;1;0
Juwairiyah;0.003484;0.0;0.360699;0.000764;1;0
Sa D bin Mu Adz;0.003484;0.0;0.360699;0.000764;1;0
Ummu Jamil binti Al-Khaththab;0.003484;0.0;0.360699;0.000764;1;0
Ummul Khair;0.003484;0.0;0.360699;0.000764;1;0
Bakar;0.003484;0.0;0.360699;0.000764;1;0
Sa;0.003484;0.0;0.285537;0.000716;1;0
Amr bin Hazm;0.003484;0.0;0.285537;0.000716;1;0
Zaid bin Arqam;0.003484;0.0;0.285537;0.000716;1;0
D bin Habbah;0.003484;0.0;0.285537;0.000716;1;0
Al-Hakam bin Abul Ash;0.003484;0.0;0.30087;0.000701;1;4
Abul Hakam;0.003484;0.0;0.30087;0.000701;1;4
Uamr bin Al-Khaththab;0.003484;0.0;0.30087;0.000701;1;4
Syaibah bin Rabi'ah;0.003484;0.0;0.30087;0.000701;1;4
Naufal bin Khuwalid;0.003484;0.0;0.30087;0.000701;1;4
Al-Harits bin Amir;0.003484;0.0;0.30087;0.000701;1;4
Zam'ah bin Al-Aswad;0.003484;0.0;0.30087;0.000701;1;4
Naufal bin Abdi;0.003484;0.0;0.30087;0.000701;1;4
Abdullah bin Haram;0.003484;0.0;0.284891;0.000695;1;0
Abu Aziz;0.003484;0.0;0.286185;0.000682;1;0
Ashhamah bin Al-Aijar;0.003484;0.0;0.28457;0.000681;1;0
Hilal bin Amir bin Sha'sha'ah;0.003484;0.0;0.282339;0.00068;1;0
Al-Miqdad bin Al-Aswad;0.003484;0.0;0.302676;0.000678;1;0
Martsad bin Abu Martsad;0.003484;0.0;0.302676;0.000678;1;0
Ruqayah binti Rasulullah;0.003484;0.0;0.296274;0.000677;1;0
Ummu Jamil binti Harb bin Umayyah;0.003484;0.0;0.300153;0.00067;1;2
Amir bin Fuhairah;0.003484;0.0;0.296622;0.000667;1;0
Abdullah bin Uraiqith;0.003484;0.0;0.296622;0.000667;1;0
Ubay bin Khalaf;0.003484;0.0;0.283929;0.000666;1;2
Hafshah;0.003484;0.0;0.295926;0.000663;1;0
Imran bin Amr;0.003484;0.0;0.360699;0.000653;1;0
Musafi' bin Abdi;0.003484;0.0;0.295926;0.000651;1;0
