name;degree_centrality;betweenness_centrality;closeness_centrality;pagerank;degree;community
Abdullah bin Abu Bakar;0.156028;2e-06;0.398394;0.005768;44;2
Ikrimah bin Abu Jahal;0.156028;2e-06;0.398394;0.005768;44;2
Abdurrahman bin Auf;0.156028;2e-06;0.398394;0.005768;44;2
Abu Salamah bin Abdul Asad;0.117021;0.0;0.393881;0.005651;33;0
Abu Thalhah;0.120567;0.000294;0.398394;0.005608;34;0
Al-Abbas bin Abdul Muththalib;0.159574;0.009695;0.399702;0.005294;45;2
Syurahbil bin Hasyim;0.007092;2.5e-05;0.007092;0.005152;2;11
Abu Rafi;0.007092;2.5e-05;0.007092;0.005152;2;12
Musa bin Uqbah;0.117021;0.0;0.393881;0.00514;33;0
Rafi' bin Khadij;0.117021;0.0;0.393881;0.00514;33;0
Urwah bin Az-Zubair;0.117021;0.0;0.393881;0.00514;33;0
Ummu Salamah;0.117021;0.0;0.393881;0.00514;33;0
Ummu Sa'd;0.117021;0.0;0.393881;0.00514;33;0
Al-Barra;0.117021;0.0;0.393881;0.00514;33;0
Ummu Aiman;0.117021;0.0;0.393881;0.00514;33;0
Bakar Ash-Shidddiq;0.117021;0.0;0.393881;0.00514;33;0
Thalhah bin Ubaidillah;0.117021;0.0;0.393881;0.00514;33;0
Khalid bin Al-Walid;0.117021;0.0;0.393881;0.00514;33;0
Sulaith;0.117021;0.0;0.393881;0.00514;33;0
Samurah bin Jundab;0.117021;0.0;0.393881;0.00514;33;0
Naf' bin Jubair;0.117021;0.0;0.393881;0.00514;33;0
Qais bin Abu Hazim;0.117021;0.0;0.393881;0.00514;33;0
Jubair bin Muth'im;0.156028;2e-06;0.398394;0.005106;44;2
Abu Lubabah bin Abdul;0.156028;2e-06;0.398394;0.004921;44;2
Ibrahim;0.014184;0.115983;0.382733;0.004921;4;3
Isma'il;0.010638;0.01315;0.272585;0.004859;3;3
Ummu Kultsum;0.159574;0.001656;0.399047;0.004799;45;2
Hasan bin Ali;0.159574;0.000975;0.399047;0.004793;45;2
Abu Dujanah;0.120567;0.009211;0.398394;0.004746;34;0
Husain bin Ali;0.159574;0.001958;0.399047;0.004652;45;2
Khadijah;0.01773;0.019687;0.36062;0.004427;5;9
Mu'adz bin Amr;0.028369;0.01315;0.359555;0.004122;8;5
Abdullah bin Abbas;0.156028;0.015548;0.398394;0.003998;44;2
Abul Ash;0.156028;0.015548;0.398394;0.003998;44;2
Siba bin Arfazhah;0.156028;0.015548;0.398394;0.003998;44;2
Ummul Fadhl;0.156028;0.015548;0.398394;0.003998;44;2
Wahsy bin Harb;0.156028;0.015548;0.398394;0.003998;44;2
Musailamah;0.024823;0.006587;0.359024;0.0036;7;5
Adi bin An-Najjar;0.003546;0.0;0.003546;0.003534;1;17
Haritsah bin Amr;0.003546;0.0;0.003546;0.003534;1;15
Haritsah bin Tsa'labah;0.003546;0.0;0.003546;0.003534;1;15
Abu Jandal;0.003546;0.0;0.003546;0.003534;1;22
Abu Bashir;0.003546;0.0;0.003546;0.003534;1;22
Hanifah bin Sha'b bin Ali bin Bakr;0.003546;0.0;0.003546;0.003534;1;16
Bakr bin Wa'il;0.003546;0.0;0.003546;0.003534;1;16
Sulaith bin An- Nu'man;0.003546;0.0;0.003546;0.003534;1;21
Al-Harits bin Aus;0.003546;0.0;0.003546;0.003534;1;20
Ka B;0.003546;0.0;0.003546;0.003534;1;20
Sa D bin Abi Waqqash;0.003546;0.0;0.003546;0.003534;1;14
Kurz bin Jabir;0.003546;0.0;0.003546;0.003534;1;14
Nu'aim bin Ma'ud;0.003546;0.0;0.003546;0.003534;1;21
Salma binti Amru;0.003546;0.0;0.003546;0.003534;1;17
Al-Barra' bin Azib;0.117021;0.045681;0.393881;0.003385;33;0
Adam;0.014184;0.036461;0.315309;0.003281;4;3
Abu Musa;0.021277;5e-05;0.356919;0.003078;6;6
Tumadhir bin Al-Ashba;0.010638;0.01315;0.29904;0.003076;3;13
Ka'b bin Zuhair;0.021277;0.0;0.358495;0.002937;6;5
Bujair bin Zuhair;0.021277;0.0;0.358495;0.002937;6;5
Urwah bin Mas'ud;0.021277;0.0;0.358495;0.002937;6;5
Abdul Muththalib;0.010638;0.006587;0.296129;0.00292;3;1
Sa'd bin Mu'adz;0.046099;0.012367;0.369937;0.002811;13;0
Abu Zaid;0.003546;0.0;0.004728;0.002724;1;11
Amr bin Abdi;0.003546;0.0;0.004728;0.002724;1;11
Abdullah bin Atik;0.003546;0.0;0.004728;0.002724;1;12
Abdullah bin Unais;0.003546;0.0;0.004728;0.002724;1;12
Asy-Syaima' binti Al-Harits;0.021277;0.0;0.358495;0.002591;6;5
Abu Hurairah;0.01773;0.0;0.356396;0.002437;5;6
Qainan;0.007092;0.0;0.228348;0.002283;2;3
Yard;0.007092;0.0;0.228348;0.002283;2;3
Yanisya;0.007092;0.0;0.228348;0.002283;2;3
Syaits;0.007092;0.0;0.228348;0.002283;2;3
Idris;0.007092;0.0;0.228348;0.002283;2;3
Akhnukh;0.007092;0.0;0.228348;0.002283;2;3
Lamk;0.007092;0.0;0.228348;0.002283;2;3
Mahla'il;0.007092;0.0;0.228348;0.002283;2;3
Nuh;0.007092;0.0;0.228348;0.002283;2;3
Sam;0.007092;0.0;0.228348;0.002283;2;3
Ka'b bin Malik;0.010638;0.0;0.382733;0.002265;3;0
Zainab binti Jahsy;0.039007;0.0;0.367147;0.00226;11;0
Huyai bin Akhthab;0.039007;0.0;0.367147;0.00226;11;0
Abdullah bin Al-Mughirah;0.010638;0.006688;0.292922;0.00215;3;4
Jibril;0.021277;0.008582;0.369375;0.002143;6;3
bin Al-Akwa;0.01773;0.0;0.356396;0.002065;5;6
Salamah bin Al-Akwa;0.01773;8e-06;0.356396;0.00202;5;6
Al-Miqdad bin Amr;0.01773;8e-06;0.356396;0.00202;5;6
Al-Mundzir bin Uqbah bin Amir;0.039007;0.0;0.367147;0.001982;11;0
Yusuf;0.01773;0.006587;0.361155;0.001974;5;0
Abul Huqaiq;0.007092;0.006587;0.355355;0.001926;2;23
Saudah binti Zam'ah;0.007092;0.006587;0.355355;0.001926;2;18
Sallam bin Misykam;0.007092;0.006587;0.355355;0.001926;2;24
Umayyah;0.010638;0.006587;0.298307;0.001907;3;4
Usamah bin Zaid;0.007092;0.006587;0.291869;0.001785;2;19
Waraqah bin Naufal;0.003546;0.0;0.260062;0.001784;1;9
Hakim bin Hizam;0.014184;0.006587;0.297942;0.001776;4;4
Sinbar;0.007092;0.0;0.295411;0.001766;2;1
Hamdan;0.007092;0.0;0.295411;0.001766;2;1
Ad-Da'a;0.007092;0.0;0.295411;0.001766;2;1
Haza;0.007092;0.0;0.295411;0.001766;2;1
Ubaid;0.007092;0.0;0.295411;0.001766;2;1
Abqar;0.007092;0.0;0.295411;0.001766;2;1
Aidh;0.007092;0.0;0.295411;0.001766;2;1
Makhi;0.007092;0.0;0.295411;0.001766;2;1
Nahits;0.007092;0.0;0.295411;0.001766;2;1
Jahim;0.007092;0.0;0.295411;0.001766;2;1
Thabikh;0.007092;0.0;0.295411;0.001766;2;1
Yadlaf;0.007092;0.0;0.295411;0.001766;2;1
Baldas;0.007092;0.0;0.295411;0.001766;2;1
Nizar;0.007092;0.0;0.295411;0.001766;2;1
Nasyid;0.007092;0.0;0.295411;0.001766;2;1
Khuzaimah;0.007092;0.0;0.295411;0.001766;2;1
Qais;0.007092;0.0;0.295411;0.001766;2;1
An-Nadhr;0.007092;0.0;0.295411;0.001766;2;1
Malik;0.007092;0.0;0.295411;0.001766;2;1
Quraisy;0.007092;0.0;0.295411;0.001766;2;1
Fihr;0.007092;0.0;0.295411;0.001766;2;1
Ghalib;0.007092;0.0;0.295411;0.001766;2;1
Lu'ay;0.007092;0.0;0.295411;0.001766;2;1
Murrah;0.007092;0.0;0.295411;0.001766;2;1
Kilab;0.007092;0.0;0.295411;0.001766;2;1
Qushay;0.007092;0.0;0.295411;0.001766;2;1
Abdu Manaf;0.007092;0.0;0.295411;0.001766;2;1
Amru;0.007092;0.0;0.295411;0.001766;2;1
Hasyim;0.007092;0.0;0.295411;0.001766;2;1
Awwam;0.007092;0.0;0.295411;0.001766;2;1
Syaibah;0.007092;0.0;0.295411;0.001766;2;1
Kinanah;0.007092;0.0;0.295411;0.001766;2;1
Al-Mughirah;0.007092;0.0;0.295411;0.001766;2;1
Qimwal;0.007092;0.0;0.295411;0.001766;2;1
Amir;0.007092;0.0;0.295411;0.001766;2;1
Hamaisa;0.007092;0.0;0.295411;0.001766;2;1
Ubay;0.007092;0.0;0.295411;0.001766;2;1
Udad;0.007092;0.0;0.295411;0.001766;2;1
Bagian;0.007092;0.0;0.295411;0.001766;2;1
Mudhar;0.007092;0.0;0.295411;0.001766;2;1
Ilyas;0.007092;0.0;0.295411;0.001766;2;1
Mudrikah;0.007092;0.0;0.295411;0.001766;2;1
Aush;0.007092;0.0;0.295411;0.001766;2;1
Bauz;0.007092;0.0;0.295411;0.001766;2;1
Salaman;0.007092;0.0;0.295411;0.001766;2;1
Amr bin Al-Hadhrami;0.010638;0.000505;0.297578;0.001737;3;4
Usaid bin Hudhair bin Sammak;0.003546;0.0;0.260062;0.001641;1;7
Amr bin Khunais;0.003546;0.0;0.260062;0.001641;1;7
Al-Mundzir bin;0.003546;0.0;0.260062;0.001641;1;7
Sa'd bin Ubadah bin Dulaim;0.003546;0.0;0.260062;0.001641;1;7
Ubadah bin Ash-Shamit bin Qais;0.003546;0.0;0.260062;0.001641;1;7
Sa'd bin Khaitsamah bin Al-Harits;0.003546;0.0;0.260062;0.001641;1;7
Abul Bakhtari bin Hisyam;0.010638;0.006587;0.296852;0.001621;3;4
Ja'far bin Abu Thalib;0.010638;0.006486;0.355355;0.001584;3;6
Isma Il;0.003546;0.0;0.210935;0.001563;1;3
Mudhadh bin Amr;0.003546;0.0;0.210935;0.001563;1;3
Ibnul Jauzi;0.01773;0.0;0.357968;0.001555;5;0
Al-Baihaqi;0.01773;0.0;0.357968;0.001555;5;0
An- Nu'man bin Qail;0.010638;0.0;0.355355;0.001537;3;10
Mu'adz bin Jabal;0.010638;0.0;0.355355;0.001537;3;10
Al-Harits bin Abdi;0.010638;0.0;0.355355;0.001537;3;10
Musa bin Imran;0.01773;0.0;0.357443;0.001466;5;0
Utbah bin Rabi'ah;0.010638;0.002044;0.365493;0.001457;3;4
Ra'u;0.003546;0.0;0.228133;0.001444;1;3
Aibar;0.003546;0.0;0.228133;0.001444;1;3
Sarugh;0.003546;0.0;0.228133;0.001444;1;3
Falakh;0.003546;0.0;0.228133;0.001444;1;3
Saru;0.003546;0.0;0.228133;0.001444;1;3
Nahur;0.003546;0.0;0.228133;0.001444;1;3
Azar;0.003546;0.0;0.228133;0.001444;1;3
Tarih;0.003546;0.0;0.228133;0.001444;1;3
Arfakhsyad;0.003546;0.0;0.228133;0.001444;1;3
Ummu Abi Salamah;0.003546;0.0;0.226436;0.001402;1;13
Sa'd bin Bakr;0.003546;0.0;0.226436;0.001402;1;13
Abdullah bin Mas'ud;0.01773;0.001649;0.357443;0.001382;5;0
Muhammad bin Abdullah bin Abdul Muththalib bin Hasyim;0.003546;0.0;0.271369;0.001366;1;3
As'ad bin Khuzaimah;0.024823;7e-06;0.360086;0.001365;7;2
Fathimah binti Amr bin A'idz bin Imran bin Makhzum bin Yaqzhah bin Murrah;0.003546;0.0;0.224763;0.001357;1;1
Sakran bin Amr;0.003546;0.0;0.257313;0.001348;1;18
Shafiyyah binti Huyai bin Akhthab;0.003546;0.0;0.257313;0.001348;1;23
Zainab binti Al-Harits;0.003546;0.0;0.257313;0.001348;1;24
Tsabit bin Qais bin Syammas;0.014184;0.0;0.355875;0.001335;4;0
Maimunah binti Al-Harits;0.007092;0.0;0.354837;0.001328;2;6
Az-Zabir bin Batha;0.014184;0.000658;0.355875;0.001292;4;0
Iyas bin Mu'adz;0.014184;0.000658;0.355875;0.001292;4;0
Abu Thalib;0.01773;0.0;0.303893;0.00129;5;4
Mirdas bin Nuhaik;0.003546;0.0;0.2223;0.001289;1;19
bin Amr bin Al-Jamuh;0.003546;0.0;0.259508;0.001195;1;5
Abu Ubaidah bin Al-Jarrah;0.01773;0.002811;0.357968;0.001195;5;0
Mu'awwidz bin Ibnu Ishaq;0.003546;0.0;0.259508;0.001195;1;5
Nafisah binti Munyah;0.003546;0.0;0.260062;0.001157;1;9
Zaid bin Haritsah bin Syurahbil;0.003546;0.0;0.260062;0.001157;1;9
Al-Hakam bin Kaisan;0.003546;0.0;0.222911;0.001139;1;4
Ummu Jamil;0.003546;0.0;0.354321;0.001029;1;0
Ummu Ammarah;0.003546;0.0;0.263725;0.001006;1;8
Malik bin Sinan;0.003546;0.0;0.263725;0.001006;1;8
Sahl bin Hanif;0.003546;0.0;0.263725;0.001006;1;8
Nasibah binti Ka'b;0.003546;0.0;0.263725;0.001006;1;8
Qatadah bin An-Nu'man;0.003546;0.0;0.263725;0.001006;1;8
Hathib bin Abu Balta'ah;0.003546;0.0;0.263725;0.001006;1;8
Sallam bin Abul Huqaiq;0.007092;0.0;0.354837;0.000938;2;0
Abu Shafwan;0.003546;0.0;0.226015;0.000935;1;4
Ummu Misthah;0.007092;0.0;0.354837;0.000925;2;0
Budail bin Warqa;0.003546;0.0;0.225806;0.000907;1;4
Abu Hudzaifah;0.003546;0.0;0.225179;0.000897;1;4
Abu Sufyan bin Al-Harits bin Abdul Muththalib;0.003546;0.0;0.260341;0.000866;1;0
Uqbah bin Abu Mu'ith;0.007092;0.0;0.29649;0.000864;2;4
Salamah bin Abu Salamah;0.007092;0.0;0.292922;0.00084;2;0
Jabalah bin Al-Aiham;0.003546;0.0;0.259232;0.000836;1;5
Bakar;0.003546;0.0;0.354321;0.000779;1;0
Usaid bin Hudhair;0.003546;0.0;0.354321;0.000779;1;0
Adi bin Hatim;0.003546;0.0;0.354321;0.000779;1;0
Maimunah;0.003546;0.0;0.354321;0.000779;1;0
Ummu Jamil binti Al-Khaththab;0.003546;0.0;0.354321;0.000779;1;0
Abd bin Al-Julunda;0.003546;0.0;0.354321;0.000779;1;0
Heraklius;0.003546;0.0;0.354321;0.000779;1;0
Kisra;0.003546;0.0;0.354321;0.000779;1;0
Ummul Khair;0.003546;0.0;0.354321;0.000779;1;0
Juwairiyah;0.003546;0.0;0.354321;0.000779;1;0
Ibnu Qami'ah;0.003546;0.0;0.354321;0.000779;1;0
Ka'b bin Asad;0.003546;0.0;0.354321;0.000779;1;0
Sa D bin Mu Adz;0.003546;0.0;0.354321;0.000779;1;0
Khalid bin Dia;0.003546;0.0;0.354321;0.000757;1;0
Abbas;0.003546;0.0;0.280113;0.00072;1;0
Abdullah bin Haram;0.003546;0.0;0.280113;0.00072;1;0
Al-Harits bin Amir;0.003546;0.0;0.29577;0.000715;1;4
Naufal bin Khuwalid;0.003546;0.0;0.29577;0.000715;1;4
Zam'ah bin Al-Aswad;0.003546;0.0;0.29577;0.000715;1;4
Al-Hakam bin Abul Ash;0.003546;0.0;0.29577;0.000715;1;4
Abul Hakam;0.003546;0.0;0.29577;0.000715;1;4
Syaibah bin Rabi'ah;0.003546;0.0;0.29577;0.000715;1;4
Uamr bin Al-Khaththab;0.003546;0.0;0.29577;0.000715;1;4
Naufal bin Abdi;0.003546;0.0;0.29577;0.000715;1;4
As'ad bin Zurarah;0.003546;0.0;0.281409;0.000705;1;0
Abu Aziz;0.003546;0.0;0.281409;0.000705;1;0
Martsad bin Abu Martsad;0.003546;0.0;0.297578;0.000694;1;0
Ashhamah bin Al-Aijar;0.003546;0.0;0.27947;0.000694;1;0
Al-Miqdad bin Al-Aswad;0.003546;0.0;0.297578;0.000694;1;0
Hilal bin Amir bin Sha'sha'ah;0.003546;0.0;0.277242;0.000693;1;0
Ruqayah binti Rasulullah;0.003546;0.0;0.29117;0.00069;1;0
Ummu Jamil binti Harb bin Umayyah;0.003546;0.0;0.29649;0.000685;1;2
Abdullah bin Uraiqith;0.003546;0.0;0.291519;0.00068;1;0
Amir bin Fuhairah;0.003546;0.0;0.291519;0.00068;1;0
Ubay bin Khalaf;0.003546;0.0;0.279791;0.000679;1;2
Musafi' bin Abdi;0.003546;0.0;0.290823;0.000663;1;0
