event_name;current_bab;current_pages;top5_suggestions;ACTION;CORRECT_BAB;CORRECT_PAGES;NOTES
Perang Badr Ula;PERANG BADR KUBRA;266-304;[0.88] PERANG BADR KUBRA (p.266-304) | [0.76] Perang Badr yang Kedua (p.387-389) | [0.73] Perang Bani Lahyan (p.415-418) | [0.69] Perang Najd (p.385-389) | [0.69] Perang Bani Qainuqa’ (p.310-323);;;;
Perang Khaibar Bekas;PERANG BADR KUBRA;266-304;[0.70] PERANG BADR KUBRA (p.266-304) | [0.65] PERANG KHAIBAR DAN WADIL QURA (p.473-492) | [0.65] Berangkat ke Khaibar (p.474-492) | [0.62] Perang Fijar (p.87-93) | [0.62] Perang Badr yang Kedua (p.387-389);;;;
Fathul Makkah;Peringatan di Makkah;267-304;[0.55] Peringatan di Makkah (p.267-304) | [0.53] Pengaturan Pasukan Makkah (p.334-375) | [0.51] Pasukan Islam Masuk Makkah (p.524-536) | [0.48] Memasuki Madinah (p.231-232) | [0.47] Rasulullah Meninggalkan Makkah (p.540-551);;;;
Perang Uhud;AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD;305-307;[1.00] PERANG UHUD (p.324-375) | [0.92] AKTIVITAS PASUKAN ANTARA PERANG BADR DAN PERANG UHUD (p.305-307) | [0.92] SATUAN-SATUAN PERANG ANTARA PERANG UHUD DAN AHZAB (p.376-389) | [0.75] Perang Burhan (p.321-323) | [0.75] PERANG MU’TAH (p.502-510);;;;
Perang Bani Qainuqa';Perang Bani Qainuqa’;310-323;[0.95] Perang Bani Qainuqa’ (p.310-323) | [0.78] PERANG BANI QURAIZHAH (p.405-411) | [0.74] Perang Bani Nadhir (p.382-389) | [0.74] Perang Bani Lahyan (p.415-418) | [0.67] PERANG HUNAIN (p.538-551);;;;
Perang Asafan;Perang As-Sawiq;315-323;[0.71] Perang As-Sawiq (p.315-323) | [0.69] Perang Burhan (p.321-323) | [0.69] PERANG HUNAIN (p.538-551) | [0.69] Perang Tha’if (p.544-551) | [0.67] Persiapan Pasukan (p.276-304);;;;
Perang Safawan;Perang As-Sawiq;315-323;[0.69] Perang As-Sawiq (p.315-323) | [0.67] Perang Burhan (p.321-323) | [0.67] PERANG HUNAIN (p.538-551) | [0.67] Perang Tha’if (p.544-551) | [0.64] Perang Najd (p.385-389);;;;
Perang Bu'ats;Perang Burhan;321-323;[0.77] Perang Burhan (p.321-323) | [0.72] PERANG TABUK (p.558-571) | [0.69] PERANG MU’TAH (p.502-510) | [0.69] PERANG HUNAIN (p.538-551) | [0.67] PERANG BADR KUBRA (p.266-304);;;;
Perang Bukhtanashar;Perang Burhan;321-323;[0.75] Perang Burhan (p.321-323) | [0.70] Perang Bani Nadhir (p.382-389) | [0.70] Perang Bani Lahyan (p.415-418) | [0.69] PERANG MU’TAH (p.502-510) | [0.65] PERANG BANI QURAIZHAH (p.405-411);;;;
Perang Buwath;Perang Burhan;321-323;[0.77] Perang Burhan (p.321-323) | [0.77] PERANG MU’TAH (p.502-510) | [0.75] PERANG UHUD (p.324-375) | [0.72] PERANG TABUK (p.558-571) | [0.69] PERANG HUNAIN (p.538-551);;;;
Perang Khandaq;Perang Burhan;321-323;[0.74] Perang Burhan (p.321-323) | [0.74] PERANG HUNAIN (p.538-551) | [0.72] PERANG UHUD (p.324-375) | [0.72] Perang Najd (p.385-389) | [0.72] PERANG AHZAB ATAU KHANDAQ (p.390-404);;;;
Perang Riddah;Perang Burhan;321-323;[0.69] Perang Burhan (p.321-323) | [0.69] PERANG MU’TAH (p.502-510) | [0.67] PERANG UHUD (p.324-375) | [0.67] Perang Najd (p.385-389) | [0.65] PERANG BANI QURAIZHAH (p.405-411);;;;
Perang Uhud Jabal;PERANG UHUD;324-375;[0.92] PERANG UHUD (p.324-375) | [0.74] Perang Dumatul Jandal (p.387-389) | [0.67] Perang Burhan (p.321-323) | [0.67] PERANG HUNAIN (p.538-551) | [0.65] Sepak Terjang Abu Jahal (p.287-304);;;;
Perang Bani Al;Perang Bani Nadhir;382-389;[0.81] Perang Bani Nadhir (p.382-389) | [0.81] Perang Bani Lahyan (p.415-418) | [0.76] Perang Bani Qainuqa’ (p.310-323) | [0.74] PERANG BANI QURAIZHAH (p.405-411) | [0.74] Perang Burhan (p.321-323);;;;
Perang Bani Mushthaliq;Perang Bani Nadhir;382-389;[0.70] Perang Bani Nadhir (p.382-389) | [0.70] Perang Bani Lahyan (p.415-418) | [0.70] PERANG BANI QURAIZHAH (p.405-411) | [0.67] Perang Bani Qainuqa’ (p.310-323) | [0.65] Perang As-Sawiq (p.315-323);;;;
