node_id;name;label;aliases;chunk_ids;frequency;periode_bab;page_range
adc10b0fd910;Sidratul Muntaha;LOCATION;;000080-003 | 000080-005;3;;
5fe91c810e55;Nil;LOCATION;;000080-005 | 000080-006;3;;
4270ed7988bb;Dzu Thuwa;LOCATION;Dzi Thuwa;000230-001 | 000307-001 | 000359-002;3;;
fd174b1f4226;Timur;LOCATION;;000001-002;2;;
c70ca19c4a43;Hijabah;LOCATION;;000007-007 | 000007-009;2;;
8052498d21a1;Hajar;LOCATION;;000029-003;2;;
357fff4cdded;Ka Bah;LOCATION;;000029-003 | 000235-002;2;;
8d5ae16d1b23;Jabal Nur;LOCATION;;000031-001 | 000035-002;2;;
86d2767f1532;Dzil- Majaz;LOCATION;Dzil-Majaz;000074-004 | 000193-002;2;;
314942ef0032;Gua Tsaur;LOCATION;Gua Tsur;000090-006 | 000093-001;2;;
1746e1298ce5;Yamamah;LOCATION;;000252-002 | 000357-017;2;;
312a9e675fa8;India;LOCATION;;000001-002;1;;
b3d34b427a45;Pakistan;LOCATION;;000002-004;1;;
642b374031e0;Al-Bathra;LOCATION;;000002-009;1;;
62452f849de7;Kalb;LOCATION;;000005-003;1;;
43707202c618;Iraq;LOCATION;;000009-002;1;;
50cb66dad377;Arab Saudi;LOCATION;;000009-002;1;;
b949970a7766;Babilon;LOCATION;;000010-012;1;;
ba15993ceb6a;Babilonia;LOCATION;;000010-012;1;;
c4900906e96a;Thawaf;LOCATION;;000029-003;1;;
a84689e4a3a4;Sudan;LOCATION;;000041-001;1;;
37916385429c;Eritrea;LOCATION;;000041-001;1;;
9b7dac1a943b;Addis Ababa;LOCATION;;000041-001;1;;
c897991d3fd3;Al-Baitul-Ma'mur;LOCATION;;000080-003;1;;
9ea236176245;Masjid Nabawi;LOCATION;;000098-001;1;;
a284985b934b;Ash-Shafra;LOCATION;;000131-002;1;;
a88e67768555;Al-Kudr;LOCATION;;000147-001;1;;
52e2ef12db40;Al-Uraidh;LOCATION;;000153-001;1;;
83178577bef6;Al-Asyraf;LOCATION;;000155-005;1;;
ce1309386a75;Harratul Uraidh;LOCATION;;000155-007;1;;
202cc8e00364;Kaba;LOCATION;;000185-004;1;;
5f2492578f3a;Sarif;LOCATION;;000193-002;1;;
a3b835c02cc1;Damaskus;LOCATION;;000217-002;1;;
a3403e485945;Masjid;LOCATION;;000219-004;1;;
f00ab3f16c0f;Nabawi;LOCATION;;000219-004;1;;
3493f64b7663;Hubaibiyah;LOCATION;;000241-001;1;;
