node_id;name;label;aliases;chunk_ids;frequency;periode_bab;page_range
e872f75feba8;Muzdalifah;LOCATION;;000007-002 | 000007-003 | 000010-009 | 000010-010 | 000017-007 | 000359-006;7;;
45705697dcc0;Gua Hira';LOCATION;Gua Hira;000031-001 | 000032-001 | 000032-003 | 000032-007 | 000034-001 | 000035-002;7;;
96284d31b341;Hudaibiyah;LOCATION;;000231-001 | 000232-001 | 000240-001 | 000246-001 | 000338-001 | 000385-007;7;;
c363b4a5e668;Marwah;LOCATION;;000285-003 | 000285-004 | 000285-006 | 000359-003;7;;
e6e4844c70a6;Mesir;LOCATION;;000002-002 | 000002-004 | 000002-009 | 000004-002 | 000248-001;6;;
37df454de2e0;Tihamah;LOCATION;;000002-003 | 000002-012 | 000010-002 | 000158-002 | 000218-002 | 000333-002;6;;
bf1727d5e7c0;Eufrat;LOCATION;;000002-004 | 000002-012 | 000005-001 | 000080-005 | 000080-006;6;;
7312f9f89d0c;Laut Merah;LOCATION;;000001-001 | 000010-001 | 000090-001 | 000096-002 | 000327-001;5;;
87dc068bb5a3;Dzul Hulaifah;LOCATION;;000229-001 | 000243-001 | 000285-001 | 000359-001 | 000359-002;5;;
4b562369be3a;Wadi Nakhlah;LOCATION;;000010-001 | 000075-006;4;;
272047670c43;Baitul-Haram;LOCATION;;000010-010 | 000051-003 | 000057-002 | 000057-011;4;;
0e70252fca2b;Ukazh;LOCATION;;000014-001 | 000047-004 | 000074-004 | 000206-004;4;;
99fd85513b40;Bahrain;LOCATION;;000002-003 | 000251-001;3;;
7d6e8357966f;Hadhramaut;LOCATION;Hadramaut;000002-003 | 000074-005 | 000338-001;3;;
ef682b9acbd6;Qudaid;LOCATION;;000010-001 | 000096-002 | 000224-003;3;;
1b6884b3d278;Dzil-Majaz;LOCATION;Dzil- Majaz;000014-001 | 000074-004 | 000193-002;3;;
adc10b0fd910;Sidratul Muntaha;LOCATION;;000080-003 | 000080-005;3;;
5fe91c810e55;Nil;LOCATION;;000080-005 | 000080-006;3;;
8d5ae16d1b23;Jabal Nur;LOCATION;;000031-001 | 000035-002;2;;
4e53ac054822;Khandaq;LOCATION;;000218-025 | 000218-026;2;;
4270ed7988bb;Dzu Thuwa;LOCATION;Dzu Thuwa';000307-001 | 000359-002;2;;
312a9e675fa8;India;LOCATION;;000001-002;1;;
914480ee90a6;Cina;LOCATION;;000001-002;1;;
62452f849de7;Kalb;LOCATION;;000005-003;1;;
43707202c618;Iraq;LOCATION;;000009-002;1;;
50cb66dad377;Arab Saudi;LOCATION;;000009-002;1;;
b949970a7766;Babilon;LOCATION;;000010-012;1;;
ba15993ceb6a;Babilonia;LOCATION;;000010-012;1;;
0e19cc56e38d;Majinnah;LOCATION;;000014-001;1;;
602158e6263c;Bukhtanashar;LOCATION;;000017-008;1;;
c897991d3fd3;Al-Baitul-Ma'mur;LOCATION;;000080-003;1;;
cc52175452bc;Gua Tsur;LOCATION;;000090-006;1;;
a88e67768555;Al-Kudr;LOCATION;;000147-001;1;;
83178577bef6;Al-Asyraf;LOCATION;;000155-005;1;;
c0859ce7bcc4;Jabal Uhud;LOCATION;;000157-003;1;;
2cd49c4aa3ca;Judzam;LOCATION;;000296-003;1;;
ad935a49f586;Dzul Marwah;LOCATION;;000301-001;1;;
ec92e4cc4d49;Al-Jurf;LOCATION;;000360-002;1;;
40f7d544302e;Hijir;LOCATION;;000055-003;1;;
baef32bbe671;Hajar Aswad;LOCATION;;000055-003;1;;
a284985b934b;Ash-Shafra;LOCATION;;000131-002;1;;
52e2ef12db40;Al-Uraidh;LOCATION;;000153-001;1;;
202cc8e00364;Kaba;LOCATION;;000185-004;1;;
